service_id,date,exception_type
20161011multiint-1111100,20160413,1
20161011multiint-0001100,20160414,1
20161011multiint-1111000,20160414,1
20161011multiint-1111100,20160414,1
20161011multiint-0000100,20160415,1
20161011multiint-0001100,20160415,1
20161011multiint-1111100,20160415,1
20161511multiint-0000010,20160416,1
20161611multiint-0000001,20160417,1
20161011multiint-1111000,20160418,1
20161011multiint-1111100,20160418,1
20161011multiint-1111000,20160419,1
20161011multiint-1111100,20160419,1
20161011multiint-1111000,20160420,1
20161011multiint-1111100,20160420,1
20161011multiint-0001100,20160421,1
20161011multiint-1111000,20160421,1
20161011multiint-1111100,20160421,1
20161011multiint-0000100,20160422,1
20161011multiint-0001100,20160422,1
20161011multiint-1111100,20160422,1
20161511multiint-0000010,20160423,1
20161611multiint-0000001,20160424,1
20161011multiint-1111000,20160425,1
20161011multiint-1111100,20160425,1
20161011multiint-1111000,20160426,1
20161011multiint-1111100,20160426,1
20161011multiint-1111000,20160427,1
20161011multiint-1111100,20160427,1
20161011multiint-0001100,20160428,1
20161011multiint-1111000,20160428,1
20161011multiint-1111100,20160428,1
20161011multiint-0000100,20160429,1
20161011multiint-0001100,20160429,1
20161011multiint-1111100,20160429,1
20161511multiint-0000010,20160430,1
20161611multiint-0000001,20160501,1
20161011multiint-1111000,20160502,1
20161011multiint-1111100,20160502,1
20161011multiint-1111000,20160503,1
20161011multiint-1111100,20160503,1
20161011multiint-1111000,20160504,1
20161011multiint-1111100,20160504,1
20161011multiint-0001100,20160505,1
20161011multiint-1111000,20160505,1
20161011multiint-1111100,20160505,1
20161011multiint-0000100,20160506,1
20161011multiint-0001100,20160506,1
20161011multiint-1111100,20160506,1
20161511multiint-0000010,20160507,1
20161611multiint-0000001,20160508,1
20161011multiint-1111000,20160509,1
20161011multiint-1111100,20160509,1
20161011multiint-1111000,20160510,1
20161011multiint-1111100,20160510,1
20161011multiint-1111000,20160511,1
20161011multiint-1111100,20160511,1
20161011multiint-0001100,20160512,1
20161011multiint-1111000,20160512,1
20161011multiint-1111100,20160512,1
20161011multiint-0000100,20160513,1
20161011multiint-0001100,20160513,1
20161011multiint-1111100,20160513,1
20161511multiint-0000010,20160514,1
20161611multiint-0000001,20160515,1
20161011multiint-1111000,20160516,1
20161011multiint-1111100,20160516,1
20161011multiint-1111000,20160517,1
20161011multiint-1111100,20160517,1
20161011multiint-1111000,20160518,1
20161011multiint-1111100,20160518,1
20161011multiint-0001100,20160519,1
20161011multiint-1111000,20160519,1
20161011multiint-1111100,20160519,1
20161011multiint-0000100,20160520,1
20161011multiint-0001100,20160520,1
20161011multiint-1111100,20160520,1
20161511multiint-0000010,20160521,1
20161611multiint-0000001,20160522,1
20161513multiint-0000010,20160523,1
20161011multiint-1111000,20160524,1
20161011multiint-1111100,20160524,1
20161011multiint-1111000,20160525,1
20161011multiint-1111100,20160525,1
20161011multiint-0001100,20160526,1
20161011multiint-1111000,20160526,1
20161011multiint-1111100,20160526,1
20161011multiint-0000100,20160527,1
20161011multiint-0001100,20160527,1
20161011multiint-1111100,20160527,1
20161511multiint-0000010,20160528,1
20161611multiint-0000001,20160529,1
20161011multiint-1111000,20160530,1
20161011multiint-1111100,20160530,1
20161011multiint-1111000,20160531,1
20161011multiint-1111100,20160531,1
20161011multiint-1111000,20160601,1
20161011multiint-1111100,20160601,1
20161011multiint-0001100,20160602,1
20161011multiint-1111000,20160602,1
20161011multiint-1111100,20160602,1
20161011multiint-0000100,20160603,1
20161011multiint-0001100,20160603,1
20161011multiint-1111100,20160603,1
20161511multiint-0000010,20160604,1
20161611multiint-0000001,20160605,1
20161011multiint-1111000,20160606,1
20161011multiint-1111100,20160606,1
20161011multiint-1111000,20160607,1
20161011multiint-1111100,20160607,1
20161011multiint-1111000,20160608,1
20161011multiint-1111100,20160608,1
20161011multiint-0001100,20160609,1
20161011multiint-1111000,20160609,1
20161011multiint-1111100,20160609,1
20161011multiint-0000100,20160610,1
20161011multiint-0001100,20160610,1
20161011multiint-1111100,20160610,1
20161511multiint-0000010,20160611,1
20161611multiint-0000001,20160612,1
20161011multiint-1111000,20160613,1
20161011multiint-1111100,20160613,1
20161011multiint-1111000,20160614,1
20161011multiint-1111100,20160614,1
20161011multiint-1111000,20160615,1
20161011multiint-1111100,20160615,1
20161011multiint-0001100,20160616,1
20161011multiint-1111000,20160616,1
20161011multiint-1111100,20160616,1
20161011multiint-0000100,20160617,1
20161011multiint-0001100,20160617,1
20161011multiint-1111100,20160617,1
