route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
821559,RTC,"55a",,"Académie Sainte-Marie - G.-Viger / des Sablonnières",3,http://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=55a,013888,FFFFFF
824559,RTC,"55g",,"École secondaire de la Seigneurie - G.-Viger / des Sablonnières",3,http://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=55g,013888,FFFFFF
825559,RTC,"55h",,"École secondaire de la Seigneurie - Saint-Michel / Bessette",3,http://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=55h,013888,FFFFFF
820590,RTC,"59",,"Terminus Charlesbourg - Sainte-Thérèse-de-Lisieux",3,http://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=59,013888,FFFFFF
820650,RTC,"65",,"Place  J.-Cartier / colline Parlementaire - Lebourgneuf",3,http://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=65,013888,FFFFFF
820700,RTC,"70",,"Loretteville - null",3,http://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=70,013888,FFFFFF
821799,RTC,"79a",,"École sec. Polyvalente L'Ancienne-Lorette - Chauveau Ouest / Borduas",3,http://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=79a,013888,FFFFFF
822799,RTC,"79b",,"École sec. Polyvalente L'Ancienne-Lorette - Terminus Les Saules",3,http://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=79b,013888,FFFFFF
824799,RTC,"79g",,"École secondaire La Camaradière - Saint-Jean-Baptiste / Michelet",3,http://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=79g,013888,FFFFFF
821809,RTC,"80a",,"École sec. Polyvalente L'Ancienne-Lorette - Terminus Les Saules",3,http://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=80a,013888,FFFFFF
824809,RTC,"80g",,"École secondaire La Camaradière - O'Neil / W.-Hamel",3,http://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=80g,013888,FFFFFF
821829,RTC,"82a",,"Saint-Jean-Eudes - Samson / Baker",3,http://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=82a,013888,FFFFFF
824849,RTC,"84g",,"École secondaire La Camaradière - Du Costebelle / de Pertuis",3,http://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=84g,013888,FFFFFF
824869,RTC,"86g",,"École secondaire La Camaradière - Père-Lelièvre / Godin",3,http://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=86g,013888,FFFFFF
821929,RTC,"92a",,"Campus Notre-Dame-de-Foy - Terminus Charlesbourg",3,http://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=92a,013888,FFFFFF
820940,RTC,"94",,"Cégep Garneau - Saint-Augustin",3,http://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=94,013888,FFFFFF
820950,RTC,"95",,"Cégep Garneau - Saint-Augustin",3,http://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=95,013888,FFFFFF
821070,RTC,"107",,"Gare du Palais - Pointe-de-Sainte-Foy",3,http://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=107,013888,FFFFFF
821330,RTC,"133",,"Vieux-Québec - Terminus du Zoo",3,http://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=133,013888,FFFFFF
821360,RTC,"136",,"Colline Parlementaire - Montagne-des-Roches",3,http://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=136,013888,FFFFFF
821850,RTC,"185",,"Station Belvédère / Sainte-Foy Centre - Neufchâtel",3,http://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=185,013888,FFFFFF
822141,RTC,"214",,"Gare du Palais - Cap-Rouge",3,http://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=214,E04503,000000
822151,RTC,"215",,"Gare du Palais - Cap-Rouge",3,http://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=215,E04503,000000
822301,RTC,"230",,"Colline Parlementaire - Terminus du Zoo",3,http://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=230,E04503,000000
822361,RTC,"236",,"Colline Parlementaire - Station des Roses",3,http://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=236,E04503,000000
822381,RTC,"238",,"Colline Parlementaire - Guillaume-Mathieu",3,http://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=238,E04503,000000
822391,RTC,"239",,"Colline Parlementaire - Terminus du Zoo",3,http://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=239,E04503,000000
822501,RTC,"250",,"Colline Parlementaire - Courville / Boischatel",3,http://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=250,E04503,000000
822511,RTC,"251",,"Colline Parlementaire - Courville",3,http://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=251,E04503,000000
822541,RTC,"254",,"Colline Parlementaire - Sainte-Thérèse-de-Lisieux",3,http://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=254,E04503,000000
822551,RTC,"255",,"Colline Parlementaire - Sainte-Thérèse-de-Lisieux",3,http://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=255,E04503,000000
822721,RTC,"272",,"Colline Parlementaire - Loretteville",3,http://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=272,E04503,000000
822731,RTC,"273",,"Colline Parlementaire - Loretteville Sud",3,http://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=273,E04503,000000
822741,RTC,"274",,"Colline Parlementaire - Neufchâtel",3,http://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=274,E04503,000000
822771,RTC,"277",,"Colline Parlementaire - Val-Bélair",3,http://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=277,E04503,000000
822791,RTC,"279",,"Colline Parlementaire - L'Ancienne-Lorette",3,http://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=279,E04503,000000
822801,RTC,"280",,"Place Jacques-Cartier / colline Parlementaire - Terminus Les Saules /  L'Ancienne-Lorette",3,http://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=280,E04503,000000
822811,RTC,"281",,"Colline Parlementaire - Neufchâtel",3,http://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=281,E04503,000000
822821,RTC,"282",,"Colline Parlementaire - Lac-Saint-Charles",3,http://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=282,E04503,000000
822831,RTC,"283",,"Gare du Palais - Champigny",3,http://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=283,E04503,000000
822841,RTC,"284",,"Colline Parlementaire - Loretteville",3,http://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=284,E04503,000000
822891,RTC,"289",,"Colline Parlementaire - Saint-Émile",3,http://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=289,E04503,000000
822901,RTC,"290",,"Vieux-Québec - Loretteville",3,http://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=290,E04503,000000
822941,RTC,"294",,"Place Jacques-Cartier - Saint-Augustin",3,http://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=294,E04503,000000
822951,RTC,"295",,"Place Jacques-Cartier - Saint-Augustin",3,http://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=295,E04503,000000
823151,RTC,"315",,"Univ.Laval/Cégep Garneau - Cap-Rouge",3,http://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=315,E04503,000000
823301,RTC,"330",,"Univ.Laval/Cégep Garneau - Terminus Charlesbourg",3,http://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=330,E04503,000000
821110,RTC,"111",,"Place D'Youville - Pointe-de-Sainte-Foy",3,http://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=111,013888,FFFFFF
821250,RTC,"125",,"Gare du Palais - Pointe-de-Sainte-Foy",3,http://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=125,013888,FFFFFF
823311,RTC,"331",,"Pointe-de-Sainte-Foy - Terminus du Zoo",3,http://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=331,E04503,000000
823321,RTC,"332",,"Saint-Rodrigue - Sainte-Foy Centre",3,http://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=332,E04503,000000
823361,RTC,"336",,"Univ.Laval/Cégep Garneau - Station des Roses",3,http://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=336,E04503,000000
823371,RTC,"337",,"Univ.Laval/Cégep Garneau - Terminus du Zoo",3,http://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=337,E04503,000000
823381,RTC,"338",,"Univ.Laval/Cégep Garneau - Montagne-des-Roches",3,http://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=338,E04503,000000
823501,RTC,"350",,"Univ.Laval/Cégep Garneau - Courville / Boischatel",3,http://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=350,E04503,000000
823541,RTC,"354",,"Pointe-de-Sainte-Foy - Sainte-Thérèse-de-Lisieux",3,http://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=354,E04503,000000
