route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
820180,20161611multiint-0000001,47334553-20161611multiint-0000001,"Université Laval (Ouest)",,1,,01800202,2
820180,20161611multiint-0000001,47334544-20161611multiint-0000001,"Gare du Palais (Est)",,0,,01800207,2
820180,20161611multiint-0000001,47334554-20161611multiint-0000001,"Université Laval (Ouest)",,1,,01800202,2
820180,20161611multiint-0000001,47334545-20161611multiint-0000001,"Gare du Palais (Est)",,0,,01800207,2
820180,20161611multiint-0000001,47334555-20161611multiint-0000001,"Université Laval (Ouest)",,1,,01800202,2
820180,20161611multiint-0000001,47334546-20161611multiint-0000001,"Gare du Palais (Est)",,0,,01800207,2
820180,20161611multiint-0000001,47334556-20161611multiint-0000001,"Université Laval (Ouest)",,1,,01800202,2
820180,20161611multiint-0000001,47334547-20161611multiint-0000001,"Gare du Palais (Est)",,0,,01800207,2
820180,20161611multiint-0000001,47334557-20161611multiint-0000001,"Université Laval (Ouest)",,1,,01800202,2
820180,20161611multiint-0000001,47334548-20161611multiint-0000001,"Gare du Palais (Est)",,0,,01800207,2
820180,20161611multiint-0000001,47334558-20161611multiint-0000001,"Université Laval (Ouest)",,1,,01800202,2
820180,20161611multiint-0000001,47334549-20161611multiint-0000001,"Gare du Palais (Est)",,0,,01800207,2
820610,20161611multiint-0000001,47334702-20161611multiint-0000001,"Lebourgneuf (Ouest)",,1,,06100128,2
820610,20161611multiint-0000001,47334674-20161611multiint-0000001,"41e Rue Est (Est)",,0,,06100127,2
820930,20161611multiint-0000001,47334897-20161611multiint-0000001,"Champigny (Nord)",,0,,09300294,2
820130,20161611multiint-0000001,47335005-20161611multiint-0000001,"Du Versant-Nord/Sainte-Foy Centre/Saint-Louis (Ouest)",,1,,01300366,2
820130,20161611multiint-0000001,47335006-20161611multiint-0000001,"Saint-Louis/Sainte-Foy Centre/du Versant-Nord (Est)",,0,,01300369,2
820770,20161611multiint-0000001,47334874-20161611multiint-0000001,"Terminus Les Saules (Sud)",,1,,07700191,2
820770,20161611multiint-0000001,47334860-20161611multiint-0000001,"Val-Bélair (Nord)",,0,,07700214,2
820930,20161611multiint-0000001,47334889-20161611multiint-0000001,"Champigny (Nord)",,0,,09300294,2
820070,20161611multiint-0000001,47333239-20161611multiint-0000001,"Place D'Youville / Vieux-Québec (Est)",,0,,00700634,2
820070,20161611multiint-0000001,47333370-20161611multiint-0000001,"Pointe-de-Sainte-Foy (Ouest)",,1,,00700581,2
